Weight (g),Color,Diameter (cm),Fruit Type
10,Purple,1.8,Grape
3049,Green,21.86,Watermelon
1591,Green,22.51,Coconut
4235,Green,25.87,Watermelon
128,Yellow,3.0,Banana
266,Orange,8.78,Orange
690,Green,12.1,Papaya
349,Yellow,10.44,Mango
196,Red,6.32,Apple
180,Red,6.37,Apple
16,Pink,2.07,Lychee
127,Yellow,3.1,Banana
102,Yellow,3.76,Banana
123,Green,8.41,Apple
6,Purple,1.87,Grape
2114,Brown,22.91,Coconut
16,Pink,2.14,Lychee
1536,Green,15.04,Coconut
9,Purple,1.98,Grape
18,Red,2.84,Lychee
1200,Green,20.45,Coconut
21,Red,2.2,Lychee
7,Purple,1.23,Grape
15,Green,1.71,Grape
664,Orange,11.56,Papaya
2329,Brown,16.3,Coconut
82,Yellow,4.11,Banana
1161,Green,21.23,Coconut
191,Red,6.51,Apple
1140,Brown,18.7,Pineapple
133,Red,8.6,Apple
11,Green,1.94,Grape
133,Red,6.0,Apple
5,Green,1.31,Grape
4454,Green,24.05,Watermelon
5,Purple,1.89,Grape
2088,Green,19.33,Coconut
112,Yellow,3.48,Banana
1391,Yellow,15.68,Pineapple
4089,Green,22.09,Watermelon
217,Yellow,10.76,Mango
1103,Green,20.33,Coconut
4022,Green,28.51,Watermelon
8,Purple,1.46,Grape
173,Green,7.49,Apple
13,Green,1.33,Grape
3805,Green,24.51,Watermelon
4219,Green,24.95,Watermelon
248,Yellow,9.97,Mango
195,Orange,6.57,Orange
141,Yellow,3.97,Banana
178,Orange,8.68,Orange
1155,Yellow,17.12,Papaya
12,Purple,1.46,Grape
167,Orange,6.52,Orange
176,Green,6.25,Apple
1918,Yellow,13.18,Pineapple
889,Green,14.84,Papaya
4979,Green,23.28,Watermelon
168,Orange,9.87,Orange
307,Green,9.74,Mango
3317,Green,24.05,Watermelon
2109,Green,24.14,Coconut
16,Pink,2.02,Lychee
1446,Yellow,17.14,Papaya
2048,Green,24.65,Watermelon
191,Orange,9.99,Orange
771,Green,15.46,Papaya
87,Yellow,4.04,Banana
235,Yellow,10.31,Mango
2021,Brown,23.06,Coconut
140,Yellow,3.11,Banana
510,Green,13.66,Papaya
198,Orange,6.22,Orange
5,Purple,1.17,Grape
89,Yellow,3.4,Banana
397,Red,8.03,Mango
183,Green,8.5,Apple
92,Yellow,3.55,Banana
1077,Yellow,10.26,Papaya
326,Red,8.48,Mango
1144,Orange,16.35,Papaya
3379,Green,22.14,Watermelon
1023,Orange,19.24,Papaya
134,Yellow,4.49,Banana
4993,Green,24.81,Watermelon
1549,Brown,13.12,Pineapple
3309,Green,27.87,Watermelon
149,Yellow,3.69,Banana
334,Green,8.32,Mango
1451,Yellow,19.88,Pineapple
156,Red,7.12,Apple
1967,Green,23.11,Coconut
273,Yellow,10.08,Mango
1854,Brown,12.73,Pineapple
139,Green,8.26,Apple
2246,Green,16.96,Coconut
21,Pink,3.0,Lychee
829,Yellow,13.98,Papaya
121,Yellow,4.45,Banana
1713,Brown,17.18,Pineapple
1079,Yellow,13.46,Pineapple
137,Yellow,4.83,Banana
348,Red,10.41,Mango
23,Pink,2.1,Lychee
272,Red,11.62,Mango
261,Orange,9.94,Orange
14,Green,1.64,Grape
795,Orange,14.62,Papaya
536,Green,14.89,Papaya
2234,Brown,17.07,Coconut
164,Red,6.62,Apple
23,Pink,2.36,Lychee
93,Yellow,4.73,Banana
2243,Brown,23.03,Coconut
2047,Green,29.29,Watermelon
266,Yellow,10.45,Mango
15,Pink,2.86,Lychee
597,Yellow,16.7,Papaya
14,Purple,1.47,Grape
21,Pink,2.44,Lychee
1290,Brown,12.45,Pineapple
378,Red,8.9,Mango
2239,Green,19.24,Coconut
4079,Green,21.95,Watermelon
137,Yellow,4.69,Banana
258,Yellow,9.56,Mango
1770,Yellow,19.34,Pineapple
1548,Yellow,14.38,Pineapple
21,Pink,2.03,Lychee
2072,Green,18.27,Coconut
5,Green,1.46,Grape
22,Red,2.55,Lychee
1327,Yellow,17.35,Pineapple
718,Orange,13.21,Papaya
1328,Green,18.22,Papaya
5,Purple,1.99,Grape
275,Orange,7.08,Orange
1983,Brown,19.14,Pineapple
4345,Green,25.82,Watermelon
2361,Green,23.93,Watermelon
130,Green,7.47,Apple
4113,Green,20.22,Watermelon
20,Red,2.26,Lychee
225,Green,8.09,Mango
2753,Green,28.31,Watermelon
95,Yellow,4.22,Banana
122,Yellow,3.18,Banana
1149,Green,18.18,Coconut
1821,Brown,21.31,Coconut
154,Red,7.19,Apple
120,Green,8.06,Apple
97,Yellow,4.77,Banana
1962,Brown,16.55,Pineapple
1728,Green,18.42,Coconut
207,Red,10.68,Mango
283,Orange,7.81,Orange
4865,Green,21.61,Watermelon
125,Yellow,4.01,Banana
4923,Green,29.41,Watermelon
1225,Green,15.53,Coconut
162,Red,8.84,Apple
15,Red,2.69,Lychee
4452,Green,22.78,Watermelon
1632,Brown,19.34,Coconut
1309,Orange,12.0,Papaya
167,Red,8.67,Apple
1793,Brown,24.64,Coconut
280,Orange,7.48,Orange
185,Orange,7.05,Orange
1251,Brown,19.09,Pineapple
1322,Brown,19.74,Pineapple
3029,Green,26.08,Watermelon
143,Green,7.98,Apple
3001,Green,23.08,Watermelon
189,Green,8.18,Apple
2382,Brown,15.76,Coconut
143,Yellow,3.47,Banana
127,Yellow,4.05,Banana
301,Red,11.09,Mango
18,Pink,2.56,Lychee
1382,Yellow,10.23,Papaya
8,Purple,1.49,Grape
8,Purple,1.4,Grape
2287,Brown,19.55,Coconut
226,Green,10.15,Mango
171,Green,7.92,Apple
170,Orange,9.46,Orange
1532,Brown,14.61,Pineapple
110,Yellow,4.27,Banana
218,Yellow,11.56,Mango
16,Pink,2.02,Lychee
9,Purple,1.0,Grape
1966,Brown,19.68,Pineapple
89,Yellow,4.98,Banana
20,Red,2.24,Lychee
138,Green,6.32,Apple
10,Purple,1.08,Grape
327,Yellow,10.24,Mango
883,Yellow,19.89,Papaya
135,Yellow,4.0,Banana
111,Yellow,3.79,Banana
5,Green,1.83,Grape
180,Orange,8.55,Orange
132,Yellow,4.41,Banana
24,Pink,2.38,Lychee
1399,Green,18.43,Coconut
1330,Brown,22.16,Coconut
3812,Green,24.66,Watermelon
154,Red,7.99,Apple
872,Orange,12.36,Papaya
1400,Brown,18.5,Pineapple
167,Green,6.98,Apple
1564,Brown,17.83,Pineapple
23,Red,2.09,Lychee
11,Green,1.85,Grape
195,Orange,7.1,Orange
9,Purple,1.21,Grape
1856,Brown,18.7,Coconut
1339,Brown,17.75,Pineapple
1928,Brown,16.61,Coconut
269,Orange,8.86,Orange
119,Yellow,3.03,Banana
1912,Yellow,18.77,Pineapple
1358,Green,19.62,Papaya
575,Yellow,19.52,Papaya
620,Green,10.47,Papaya
122,Yellow,3.9,Banana
132,Yellow,4.03,Banana
125,Red,8.99,Apple
1027,Green,11.83,Papaya
230,Green,10.32,Mango
4708,Green,21.22,Watermelon
1427,Brown,15.2,Coconut
2228,Brown,20.68,Coconut
2233,Green,25.08,Watermelon
2716,Green,27.09,Watermelon
1738,Yellow,15.62,Pineapple
2115,Green,26.75,Watermelon
22,Pink,2.4,Lychee
4528,Green,29.28,Watermelon
17,Red,2.43,Lychee
590,Yellow,16.75,Papaya
2310,Green,19.0,Coconut
395,Green,10.12,Mango
138,Green,6.29,Apple
4435,Green,27.11,Watermelon
181,Red,7.73,Apple
1463,Brown,22.18,Coconut
291,Orange,9.96,Orange
287,Orange,6.49,Orange
1119,Orange,14.77,Papaya
1324,Yellow,18.19,Pineapple
1088,Brown,19.57,Pineapple
581,Orange,15.8,Papaya
125,Yellow,4.34,Banana
201,Orange,8.28,Orange
197,Red,8.42,Apple
1067,Brown,18.25,Pineapple
1935,Green,23.96,Coconut
1051,Green,15.44,Coconut
269,Orange,6.4,Orange
14,Green,1.9,Grape
2344,Brown,19.42,Coconut
18,Pink,2.14,Lychee
88,Yellow,3.59,Banana
24,Red,2.5,Lychee
500,Yellow,13.73,Papaya
179,Green,8.94,Apple
547,Orange,12.12,Papaya
1182,Brown,23.26,Coconut
15,Green,1.34,Grape
1570,Yellow,13.76,Pineapple
8,Purple,1.44,Grape
241,Orange,7.58,Orange
1083,Yellow,17.7,Papaya
4061,Green,28.13,Watermelon
150,Green,8.63,Apple
166,Red,6.46,Apple
6,Purple,1.55,Grape
209,Orange,8.38,Orange
10,Purple,1.6,Grape
1237,Yellow,12.89,Pineapple
1592,Yellow,15.4,Pineapple
128,Yellow,4.7,Banana
293,Orange,8.58,Orange
2062,Brown,19.37,Coconut
207,Orange,9.77,Orange
187,Orange,9.23,Orange
145,Yellow,3.72,Banana
107,Yellow,4.16,Banana
11,Green,1.03,Grape
1231,Green,17.92,Coconut
206,Orange,6.18,Orange
1426,Green,11.53,Papaya
357,Red,9.43,Mango
1007,Green,19.12,Papaya
2438,Brown,17.01,Coconut
268,Orange,8.6,Orange
184,Green,7.54,Apple
390,Green,9.9,Mango
214,Green,9.55,Mango
213,Orange,7.25,Orange
148,Yellow,3.2,Banana
2226,Brown,15.05,Coconut
157,Red,7.46,Apple
179,Red,8.88,Apple
208,Red,9.08,Mango
4211,Green,25.19,Watermelon
1864,Brown,18.92,Pineapple
1240,Orange,12.07,Papaya
374,Green,9.63,Mango
89,Yellow,3.56,Banana
16,Pink,2.02,Lychee
84,Yellow,4.02,Banana
142,Yellow,3.33,Banana
820,Green,16.59,Papaya
9,Purple,1.99,Grape
24,Red,2.99,Lychee
107,Yellow,3.48,Banana
1753,Yellow,17.49,Pineapple
131,Yellow,3.32,Banana
315,Red,8.88,Mango
2712,Green,24.79,Watermelon
15,Green,1.25,Grape
150,Green,8.6,Apple
20,Red,2.39,Lychee
1222,Yellow,17.0,Papaya
1447,Brown,24.03,Coconut
1395,Brown,15.12,Coconut
278,Green,11.6,Mango
140,Yellow,4.89,Banana
307,Yellow,9.77,Mango
2449,Green,27.31,Watermelon
18,Pink,2.96,Lychee
22,Pink,2.21,Lychee
1677,Yellow,17.25,Pineapple
13,Green,1.32,Grape
24,Red,2.45,Lychee
1008,Brown,19.41,Pineapple
25,Red,2.96,Lychee
152,Red,7.63,Apple
1597,Green,16.57,Coconut
6,Green,1.59,Grape
2004,Brown,23.47,Coconut
4714,Green,23.67,Watermelon
7,Purple,1.47,Grape
23,Pink,2.73,Lychee
11,Green,1.65,Grape
1250,Green,11.21,Papaya
198,Orange,9.91,Orange
1312,Green,12.83,Papaya
3059,Green,25.22,Watermelon
1156,Green,16.75,Papaya
9,Green,1.98,Grape
205,Green,10.35,Mango
91,Yellow,4.02,Banana
2340,Brown,19.41,Coconut
530,Green,15.65,Papaya
2967,Green,21.95,Watermelon
173,Red,6.68,Apple
122,Yellow,4.96,Banana
1549,Brown,20.23,Coconut
160,Green,7.84,Apple
11,Purple,1.28,Grape
15,Pink,2.64,Lychee
11,Purple,1.9,Grape
1935,Brown,16.57,Pineapple
6,Green,1.17,Grape
1723,Green,24.67,Coconut
14,Green,1.17,Grape
100,Yellow,4.86,Banana
177,Green,7.91,Apple
25,Pink,2.65,Lychee
207,Orange,7.0,Orange
1625,Brown,24.72,Coconut
1437,Yellow,14.89,Papaya
967,Orange,11.16,Papaya
2805,Green,25.24,Watermelon
124,Green,6.92,Apple
2032,Brown,22.2,Coconut
8,Green,1.75,Grape
293,Red,9.4,Mango
21,Pink,2.38,Lychee
20,Red,2.36,Lychee
17,Pink,2.83,Lychee
6,Purple,1.89,Grape
120,Green,8.57,Apple
1193,Green,11.25,Papaya
189,Red,7.61,Apple
1174,Brown,12.32,Pineapple
167,Green,7.74,Apple
509,Orange,12.69,Papaya
1042,Yellow,19.44,Pineapple
4176,Green,20.27,Watermelon
17,Pink,2.17,Lychee
3946,Green,20.66,Watermelon
18,Pink,2.43,Lychee
269,Orange,9.42,Orange
2560,Green,20.87,Watermelon
165,Orange,7.04,Orange
137,Yellow,3.74,Banana
1419,Brown,21.98,Coconut
3866,Green,22.03,Watermelon
175,Green,8.34,Apple
1248,Yellow,14.55,Pineapple
690,Green,11.95,Papaya
1123,Yellow,14.64,Pineapple
166,Orange,9.45,Orange
173,Red,8.35,Apple
265,Red,9.95,Mango
311,Yellow,10.64,Mango
2192,Green,19.65,Coconut
1412,Yellow,13.61,Pineapple
400,Red,10.88,Mango
182,Red,8.63,Apple
1014,Brown,21.06,Coconut
11,Purple,1.45,Grape
288,Green,9.41,Mango
6,Green,1.52,Grape
5,Purple,1.12,Grape
308,Red,8.24,Mango
287,Green,11.91,Mango
124,Red,8.22,Apple
1735,Brown,14.55,Pineapple
831,Orange,19.6,Papaya
2633,Green,21.34,Watermelon
4112,Green,20.63,Watermelon
17,Pink,2.47,Lychee
940,Yellow,11.08,Papaya
3554,Green,25.37,Watermelon
3668,Green,21.45,Watermelon
353,Green,10.11,Mango
1247,Yellow,10.07,Papaya
304,Green,9.99,Mango
728,Yellow,16.23,Papaya
84,Yellow,3.17,Banana
1534,Brown,24.03,Coconut
2449,Green,29.34,Watermelon
1315,Brown,24.33,Coconut
1197,Green,23.05,Coconut
96,Yellow,4.29,Banana
3456,Green,20.21,Watermelon
391,Green,9.75,Mango
99,Yellow,3.86,Banana
1043,Brown,17.88,Pineapple
319,Yellow,8.53,Mango
754,Orange,15.97,Papaya
1219,Yellow,18.64,Papaya
1136,Green,21.86,Coconut
1394,Green,12.3,Papaya
347,Green,8.76,Mango
847,Green,10.2,Papaya
19,Red,2.11,Lychee
3021,Green,28.65,Watermelon
248,Green,10.97,Mango
538,Green,10.82,Papaya
316,Yellow,10.46,Mango
1552,Brown,13.17,Pineapple
1103,Green,16.47,Coconut
2167,Green,23.84,Watermelon
1117,Brown,12.64,Pineapple
20,Pink,2.25,Lychee
1146,Orange,12.25,Papaya
12,Purple,1.72,Grape
143,Green,8.94,Apple
1332,Yellow,17.81,Papaya
355,Green,9.12,Mango
105,Yellow,4.11,Banana
24,Pink,2.46,Lychee
1322,Brown,24.09,Coconut
2339,Green,24.65,Watermelon
2308,Green,25.15,Watermelon
110,Yellow,4.93,Banana
1566,Brown,18.92,Pineapple
160,Orange,6.96,Orange
143,Yellow,3.97,Banana
181,Red,7.14,Apple
174,Orange,7.5,Orange
367,Green,11.54,Mango
1367,Green,15.2,Papaya
118,Yellow,3.35,Banana
1205,Green,22.97,Coconut
13,Purple,1.86,Grape
25,Pink,2.5,Lychee
3472,Green,21.19,Watermelon
356,Red,11.01,Mango
4421,Green,28.83,Watermelon
9,Purple,1.51,Grape
150,Red,6.28,Apple
217,Yellow,10.61,Mango
11,Green,1.66,Grape
250,Orange,8.68,Orange
124,Red,7.54,Apple
2369,Green,20.3,Watermelon
19,Pink,2.84,Lychee
1558,Yellow,16.36,Pineapple
88,Yellow,3.59,Banana
327,Red,8.7,Mango
15,Pink,2.17,Lychee
2289,Green,22.91,Coconut
150,Orange,6.21,Orange
1653,Yellow,19.86,Pineapple
227,Yellow,11.28,Mango
1841,Yellow,18.94,Pineapple
1854,Brown,18.9,Pineapple
3822,Green,22.93,Watermelon
590,Orange,17.55,Papaya
15,Red,2.63,Lychee
1618,Green,18.39,Coconut
2687,Green,25.88,Watermelon
1051,Yellow,18.2,Pineapple
187,Red,7.05,Apple
295,Yellow,9.15,Mango
178,Orange,9.73,Orange
148,Yellow,3.62,Banana
238,Red,8.58,Mango
3838,Green,26.89,Watermelon
18,Red,2.6,Lychee
299,Green,9.78,Mango
15,Purple,1.19,Grape
1864,Green,21.07,Coconut
16,Red,2.05,Lychee
1753,Yellow,12.84,Pineapple
268,Red,11.35,Mango
2039,Green,15.13,Coconut
4315,Green,25.68,Watermelon
23,Pink,2.76,Lychee
1019,Green,21.49,Coconut
1533,Brown,20.64,Coconut
398,Yellow,8.63,Mango
10,Purple,1.48,Grape
127,Red,6.48,Apple
211,Red,10.34,Mango
184,Orange,8.98,Orange
1771,Brown,17.2,Coconut
218,Red,11.14,Mango
92,Yellow,3.9,Banana
101,Yellow,3.54,Banana
233,Red,11.98,Mango
1676,Brown,19.9,Coconut
23,Red,2.34,Lychee
1886,Brown,22.05,Coconut
106,Yellow,4.37,Banana
86,Yellow,3.1,Banana
317,Red,10.85,Mango
6,Green,1.38,Grape
21,Pink,2.52,Lychee
207,Orange,7.68,Orange
2227,Brown,20.76,Coconut
128,Yellow,3.47,Banana
2217,Green,20.56,Watermelon
160,Green,8.8,Apple
141,Red,8.22,Apple
1664,Brown,17.05,Coconut
1142,Orange,18.31,Papaya
988,Green,15.01,Papaya
2175,Green,24.9,Watermelon
1283,Green,18.57,Papaya
1868,Brown,20.99,Coconut
23,Red,2.34,Lychee
19,Red,2.3,Lychee
1663,Yellow,17.2,Pineapple
14,Green,1.29,Grape
113,Yellow,3.86,Banana
378,Red,9.51,Mango
20,Pink,2.48,Lychee
5,Green,1.46,Grape
180,Red,7.58,Apple
2778,Green,21.76,Watermelon
16,Pink,2.15,Lychee
12,Green,1.12,Grape
2868,Green,26.97,Watermelon
138,Yellow,4.34,Banana
284,Orange,7.39,Orange
151,Green,8.53,Apple
1444,Green,22.25,Coconut
236,Orange,6.43,Orange
1368,Orange,12.69,Papaya
1405,Green,20.56,Coconut
2120,Green,20.9,Coconut
359,Green,10.25,Mango
3384,Green,27.34,Watermelon
228,Red,8.56,Mango
3615,Green,27.22,Watermelon
25,Red,2.95,Lychee
20,Pink,2.03,Lychee
1266,Green,10.33,Papaya
126,Yellow,3.7,Banana
1435,Brown,17.04,Pineapple
1313,Brown,18.22,Pineapple
89,Yellow,4.1,Banana
1035,Brown,20.8,Coconut
25,Pink,2.8,Lychee
16,Pink,2.03,Lychee
928,Green,17.57,Papaya
118,Yellow,3.01,Banana
1373,Brown,16.26,Pineapple
2193,Green,24.3,Watermelon
1655,Brown,16.11,Pineapple
1052,Orange,12.31,Papaya
238,Orange,7.49,Orange
19,Red,2.63,Lychee
25,Pink,2.11,Lychee
1690,Green,16.49,Coconut
9,Green,1.73,Grape
2281,Brown,24.76,Coconut
25,Pink,2.97,Lychee
19,Red,2.02,Lychee
1182,Yellow,19.47,Papaya
23,Pink,2.07,Lychee
1413,Orange,14.39,Papaya
1008,Yellow,17.97,Papaya
4887,Green,29.1,Watermelon
2522,Green,23.68,Watermelon
4391,Green,27.89,Watermelon
175,Green,6.07,Apple
1781,Brown,17.03,Pineapple
1724,Brown,15.39,Coconut
1416,Yellow,18.41,Pineapple
24,Red,2.41,Lychee
3293,Green,22.67,Watermelon
146,Red,7.92,Apple
121,Green,7.16,Apple
1392,Green,14.95,Papaya
23,Red,2.24,Lychee
1396,Brown,15.66,Pineapple
124,Yellow,3.75,Banana
1546,Brown,18.88,Pineapple
197,Orange,9.98,Orange
550,Orange,13.96,Papaya
87,Yellow,3.7,Banana
890,Green,18.0,Papaya
1862,Green,16.3,Coconut
1432,Green,21.34,Coconut
11,Green,1.54,Grape
1140,Yellow,14.26,Pineapple
200,Green,7.87,Apple
1876,Brown,14.93,Pineapple
320,Yellow,10.91,Mango
264,Orange,8.37,Orange
215,Orange,9.85,Orange
10,Purple,1.98,Grape
182,Orange,6.04,Orange
1543,Green,22.42,Coconut
1248,Brown,24.63,Coconut
267,Red,8.68,Mango
157,Green,8.38,Apple
269,Red,11.67,Mango
1945,Yellow,17.04,Pineapple
348,Yellow,9.43,Mango
1415,Orange,13.05,Papaya
5,Purple,1.45,Grape
14,Purple,1.84,Grape
1333,Brown,19.49,Pineapple
1380,Yellow,13.14,Papaya
25,Red,2.99,Lychee
1873,Yellow,13.78,Pineapple
335,Green,11.5,Mango
192,Green,6.66,Apple
703,Green,19.37,Papaya
4322,Green,27.66,Watermelon
1096,Brown,19.55,Pineapple
22,Pink,2.13,Lychee
168,Green,8.42,Apple
214,Orange,8.95,Orange
2081,Green,21.59,Coconut
1074,Yellow,12.16,Pineapple
1441,Yellow,15.97,Papaya
208,Yellow,10.94,Mango
2792,Green,25.24,Watermelon
1354,Yellow,15.93,Pineapple
196,Red,7.97,Apple
21,Pink,2.55,Lychee
1135,Yellow,16.45,Papaya
214,Orange,9.66,Orange
81,Yellow,4.33,Banana
155,Orange,6.5,Orange
14,Green,1.71,Grape
1718,Brown,19.29,Pineapple
1192,Green,12.83,Papaya
1105,Yellow,12.78,Pineapple
2023,Green,25.49,Watermelon
117,Yellow,3.53,Banana
266,Orange,7.29,Orange
214,Yellow,10.87,Mango
3519,Green,23.72,Watermelon
14,Green,1.27,Grape
1615,Brown,16.22,Coconut
1618,Green,19.5,Coconut
1029,Yellow,15.45,Pineapple
194,Green,7.76,Apple
147,Yellow,4.43,Banana
1687,Yellow,13.98,Pineapple
202,Orange,6.79,Orange
1043,Brown,13.47,Pineapple
4142,Green,28.96,Watermelon
202,Orange,8.35,Orange
187,Green,8.29,Apple
382,Red,10.61,Mango
1406,Brown,18.58,Pineapple
1416,Orange,10.7,Papaya
4710,Green,26.26,Watermelon
91,Yellow,3.65,Banana
281,Green,9.26,Mango
11,Purple,1.52,Grape
3073,Green,21.38,Watermelon
20,Red,2.97,Lychee
16,Red,2.2,Lychee
1086,Green,12.5,Papaya
517,Orange,12.38,Papaya
175,Green,6.25,Apple
189,Green,7.62,Apple
1305,Yellow,12.48,Papaya
5,Purple,1.47,Grape
14,Purple,1.49,Grape
19,Pink,2.77,Lychee
130,Yellow,3.91,Banana
94,Yellow,4.04,Banana
175,Orange,8.26,Orange
212,Yellow,8.48,Mango
262,Red,10.61,Mango
159,Green,7.93,Apple
139,Green,6.2,Apple
275,Red,8.07,Mango
198,Green,8.83,Apple
5,Purple,1.17,Grape
1959,Yellow,19.82,Pineapple
106,Yellow,4.17,Banana
122,Yellow,4.59,Banana
1936,Yellow,14.51,Pineapple
258,Orange,9.27,Orange
6,Purple,1.26,Grape
4891,Green,23.57,Watermelon
295,Orange,6.21,Orange
1788,Green,23.41,Coconut
1162,Green,11.45,Papaya
1026,Orange,15.32,Papaya
21,Red,2.13,Lychee
1841,Yellow,18.08,Pineapple
10,Green,1.67,Grape
150,Yellow,4.09,Banana
4342,Green,20.75,Watermelon
13,Purple,1.06,Grape
14,Green,1.66,Grape
193,Red,6.69,Apple
9,Green,1.76,Grape
1545,Yellow,16.18,Pineapple
190,Red,8.58,Apple
14,Green,1.44,Grape
197,Orange,8.19,Orange
16,Red,2.16,Lychee
1638,Brown,18.37,Pineapple
128,Green,8.07,Apple
131,Yellow,4.95,Banana
116,Yellow,4.62,Banana
178,Green,6.52,Apple
1875,Brown,24.07,Coconut
1485,Brown,12.62,Pineapple
7,Purple,1.01,Grape
1560,Yellow,18.83,Pineapple
1197,Brown,19.97,Coconut
1618,Brown,18.54,Pineapple
1685,Brown,14.83,Pineapple
1947,Green,18.23,Coconut
3354,Green,24.26,Watermelon
24,Red,2.36,Lychee
827,Yellow,15.88,Papaya
18,Red,2.9,Lychee
1387,Brown,24.08,Coconut
228,Orange,6.89,Orange
111,Yellow,3.72,Banana
205,Green,9.18,Mango
124,Yellow,4.4,Banana
127,Yellow,3.07,Banana
3845,Green,27.4,Watermelon
214,Orange,6.21,Orange
1202,Yellow,12.59,Pineapple
138,Green,8.68,Apple
12,Green,1.53,Grape
218,Green,11.63,Mango
3135,Green,27.89,Watermelon
1406,Brown,17.06,Pineapple
20,Pink,2.07,Lychee
3298,Green,23.78,Watermelon
1907,Green,18.95,Coconut
103,Yellow,4.75,Banana
166,Green,8.64,Apple
1312,Yellow,11.37,Papaya
132,Green,8.28,Apple
10,Green,2.0,Grape
2744,Green,26.29,Watermelon
1307,Yellow,15.42,Pineapple
1331,Yellow,13.78,Pineapple
232,Orange,9.18,Orange
7,Purple,1.85,Grape
2612,Green,24.3,Watermelon
200,Orange,8.87,Orange
2939,Green,25.3,Watermelon
149,Yellow,3.07,Banana
277,Orange,9.22,Orange
2113,Brown,19.94,Coconut
319,Red,11.76,Mango
143,Red,6.34,Apple
184,Red,7.45,Apple
18,Red,2.09,Lychee
1770,Brown,18.17,Pineapple
294,Orange,7.28,Orange
1453,Green,18.2,Papaya
2185,Brown,19.78,Coconut
1488,Yellow,16.44,Papaya
3662,Green,27.76,Watermelon
25,Pink,2.89,Lychee
142,Yellow,3.68,Banana
132,Yellow,4.14,Banana
208,Green,8.95,Mango
15,Green,1.69,Grape
22,Red,2.04,Lychee
209,Yellow,8.22,Mango
5,Purple,1.71,Grape
13,Purple,1.26,Grape
238,Orange,7.0,Orange
1189,Orange,14.48,Papaya
8,Green,1.54,Grape
259,Orange,8.55,Orange
1593,Yellow,19.28,Pineapple
192,Green,7.55,Apple
852,Green,10.99,Papaya
367,Green,10.3,Mango
9,Purple,1.81,Grape
1719,Brown,15.45,Pineapple
150,Red,7.29,Apple
270,Red,11.42,Mango
3047,Green,26.14,Watermelon
159,Orange,9.59,Orange
4153,Green,25.96,Watermelon
268,Orange,9.9,Orange
701,Green,18.73,Papaya
184,Red,7.55,Apple
16,Red,2.52,Lychee
1817,Brown,18.66,Pineapple
3132,Green,24.2,Watermelon
291,Orange,6.49,Orange
95,Yellow,4.37,Banana
21,Red,2.18,Lychee
361,Yellow,8.08,Mango
2110,Brown,23.2,Coconut
876,Green,17.1,Papaya
14,Purple,1.58,Grape
280,Red,9.75,Mango
1912,Green,23.9,Coconut
383,Red,9.75,Mango
1660,Brown,12.16,Pineapple
4058,Green,29.43,Watermelon
2246,Green,16.25,Coconut
204,Orange,6.4,Orange
129,Red,6.39,Apple
